2022-02-01	春節
2022-02-02	春節
2022-02-03	春節
2022-02-14	情人節
2022-02-15	元宵節
2022-04-05	清明節
2022-04-15	耶穌受難節
2022-04-16	復活節前日
2022-04-17	復活節
2022-04-18	復活節次日
2022-05-01	勞動節
2022-05-08	佛誕節
2022-05-08	母親節
2022-06-03	端午節
2022-06-19	父親節
2022-08-04	七夕情人節
2022-08-12	中元節
2022-09-10	中秋節
2022-09-11	中秋節
2022-10-01	國慶日
2022-10-02	國慶日翌日
2022-10-04	重陽節
2022-11-02	追思節
2022-12-08	聖母無染原罪瞻禮
2022-12-20	澳門特別行政區成立紀念日
2022-12-22	冬至
2022-12-24	平安夜
2022-12-25	聖誕節
2022-12-26	拆禮物日
2022-12-30	臘八節
2022-12-31	新年前夜
2023-01-01	元旦
2023-01-01	新年
2023-01-15	小年
2023-01-21	除夕
2023-01-22	春節
2023-01-23	春節
2023-01-24	春節
2023-02-05	元宵節
2023-02-14	情人節
2023-04-05	清明節
2023-04-07	耶穌受難節
2023-04-08	復活節前日
2023-04-09	復活節
2023-04-10	復活節次日
2023-05-01	勞動節
2023-05-14	母親節
2023-05-26	佛誕節
2023-06-18	父親節
2023-06-22	端午節
2023-08-22	七夕情人節
2023-08-30	中元節
2023-09-29	中秋節
2023-09-30	中秋節
2023-10-01	國慶日
2023-10-02	國慶日翌日
2023-10-23	重陽節
2023-11-02	追思節
2023-12-08	聖母無染原罪瞻禮
2023-12-20	澳門特別行政區成立紀念日
2023-12-22	冬至
2023-12-24	平安夜
2023-12-25	聖誕節
2023-12-26	拆禮物日
2023-12-31	新年前夜
2024-01-01	元旦
2024-01-01	新年
2024-01-18	臘八節
2024-02-03	小年
2024-02-09	除夕
2024-02-10	春節
2024-02-11	春節
2024-02-12	春節
2024-02-14	情人節
2024-02-24	元宵節
2024-03-29	耶穌受難節
2024-03-30	復活節前日
2024-03-31	復活節
2024-04-01	復活節次日
2024-04-04	清明節
2024-05-01	勞動節
2024-05-12	母親節
2024-05-15	佛誕節
2024-06-10	端午節
2024-06-16	父親節
2024-08-10	七夕情人節
2024-08-18	中元節
2024-09-17	中秋節
2024-09-18	中秋節
2024-10-01	國慶日
2024-10-02	國慶日翌日
2024-10-11	重陽節
2024-11-02	追思節
2024-12-08	聖母無染原罪瞻禮
2024-12-20	澳門特別行政區成立紀念日
2024-12-21	冬至
2024-12-24	平安夜
2024-12-25	聖誕節
2024-12-26	拆禮物日
2024-12-31	新年前夜
2025-01-01	元旦
2025-01-01	新年
2025-01-07	臘八節
2025-01-23	小年
2025-01-28	除夕
2025-01-29	春節
2025-01-30	春節
2025-01-31	春節
2025-02-12	元宵節
2025-02-14	情人節
2025-04-04	清明節
2025-04-18	耶穌受難節
2025-04-19	復活節前日
2025-04-20	復活節
2025-04-21	復活節次日
2025-05-01	勞動節
2025-05-05	佛誕節
2025-05-11	母親節
2025-05-31	端午節
2025-06-15	父親節
2025-08-29	七夕情人節
2025-09-06	中元節
2025-10-01	國慶日
2025-10-02	國慶日翌日
2025-10-06	中秋節
2025-10-07	中秋節
2025-10-29	重陽節
2025-11-02	追思節
2025-12-08	聖母無染原罪瞻禮
2025-12-20	澳門特別行政區成立紀念日
2025-12-21	冬至
2025-12-24	平安夜
2025-12-25	聖誕節
2025-12-26	拆禮物日
2025-12-31	新年前夜
